Property_name,Renting_price,Area,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng
"The Trails of Kampar, Kampar, Perak",1000,Kampar,Apartments,1099,3 Bedrooms,2 Bathrooms,"Location  near UTAR/ KTAR/Westlake International school is available for rent.- Fully Furnished unit- Gas Stove provided- 3 Double Rooms with 6 Single Beds - Include 3 aircond / 4 aircond.- 2 bathrooms with water heater & hair dryer- Study tables, wardrobes and chairs are provided in all rooms- TV, Refrigerator is provided- Washing machine & Dryer machine are provided- 2 Parking slots- Shuttle Van Service is providedFree Facilities: 1) Swimming pool2) Basketball court3) Badminton court4) Gym room5) BBQ pitFree Security: 1) 24 -hours Security Guard Patrol2) Individual Unit Alarm System3) Guardhouse",4.3195084,101.1233702
"The Trails of Kampar, Kampar, Perak",1000,Kampar,Apartments,1099,3 Bedrooms,2 Bathrooms,"Barbecue Area, Covered Parking, Gymnasium, Jogging Track, Playground, Swimming Pool, 24hr Security",4.3195084,101.1233702
"Jalan Kampar Barat 6, Kampar, Perak",1000,Kampar,Apartments,1080,4 Bedrooms,4 Bathrooms,"Kampar Town house unit for rent at Kampar :- 2nd floor unit- taman bandar baru kampar- town house unit with facilities- built up 1080 sqft- 4 bedrooms 4 bathrooms- 1 car park provided- 5 units air con and fully furnished- common facilities with swimming pool, wading pool,gymnasium room, multi purpose hall, cafeteria at club house, retails shop, changing room, centralised refuse chamber, gated and guarded- prime location to UTAR and KTAR college, theme park was coming soon, fairwell international school.- maintenance fees is RM 120 / month absorbed by landlord- selling price RM 325,000- rental rate RM 1000.00",4.3237741,101.127925
Kampus West City Condominium,800,Kampar,Apartments,1034,3 Bedrooms,2 Bathrooms,5 mins to UTAR,4.3238177,101.1297067
Kampus West City Condominium,800,Kampar,Apartments,None,3 Bedrooms,2 Bathrooms,"Barbecue Area, Covered Parking, Gymnasium, Jogging Track, Playground, Swimming Pool, 24hr Security",4.3238177,101.1297067
Kampus West City Condominium,780,Kampar,Apartments,856,3 Bedrooms,2 Bathrooms,"This property is strategically located within the city, conveniently, commercial areas and amenities such as banks, food courts, wet market via main roads, allowing for easy and convenient transportation.Easy access to North-South Expressway.Face swimming pool view Fully Furnished Facilities such as public swimming poolFree 2 parking lot Near to Utar by 5minsSurrounded by cafe, eatery, dobi, stationary , workshop etcWelcome to Whatsapp me for more informationCarmen Tan 01162862787, 0175733288Monthly Rental : RM 780.00For further information, please do not hesitate to contact me.",4.3238177,101.1297067
champs elysees kampar,700,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"studion Unit  at Champs Elysees for rent.Location : bandar agacia Special : for Utar student 1) distance to Utar : 1 min.2) New unit . Ready to move in.3) living hall got :curtainAircon4) bedroom have 2 single bed.5) kitchen got:OvenElectric cooker6) bathroom got 7) 24 hrs security. Provide 2 access card.8) facility : swimming pool, Play Groundo,  gym, etcUtar student had evaluate this condo as their priority choice.For viewing, kindly contact Francis  012-4218704Thank you.",4.3227631,101.1251593
champs elysees kampar,700,Kampar,Apartments,480,1 Bedroom,1 Bathroom,"Hi,,i want to rent out my unit at champs elysess condo in Kampar Perak. This unit a corner unit and very nice view and more privacy. This unit at level 12 and facing a swimming pool and lake view. This unit also fully furnish as a pictures and all a new one. This unit has facilities such as swimming pool, gym, multipurpose halland surrounding with business centre. Suitable for student and executive or small family. If interested don't hesitate to call or wasup me : 019-2571102..tq",4.3227631,101.1251593
Kampus West City Condominium,700,Kampar,Apartments,900,3 Bedrooms,2 Bathrooms,"Location- located at Kampus West Condo- situated at west city kampar- 10 mins drive to University.Nearby Amenities- restaurants, gym, laundry, internet cafe- 10 mins drive to town center- easy access to all side (batu gajah, kg gajah, sri iskandar, ipoh etc)Size- 900sqft- fully fitted with air cond, fans, refrigerator, beds, study table.- water heater, washing machine, Unifi service, swimming poolfor more information please call or whatapp Mr Goh 019-5717809",4.3238177,101.1297067
champs elysees kampar,700,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"studion Unit at Champs Elysees for rent.Location : bandar agaciaSpecial : for Utar student1) distance to Utar : 1 min.2) New unit . Ready to move in.3) living hall got :curtainAircon4) bedroom have 2 single bed.5) kitchen got:OvenElectric cooker6) bathroom got7) 24 hrs security. Provide 2 access card.8) facility : swimming pool, Play Groundo, gym, etc.Utar student had evaluate this condo as their priority choice.For viewing, kindly contact Francis 012-4218704Thank you.",4.3227631,101.1251593
champs elysees kampar,650,Kampar,Apartments,430,1 Bedroom,1 Bathroom,NEW Fully Furnish Studio Room For RentFully furnished - 2 units of single bed with pillow & bed sheets- build in wardrobes- study table with executive chairs- air con- bathroom with water heater- full kitchen cabinet- dining table- fridge- washing machine- induction cooker- microwave- stainless steel cloth drying rack- 1 covered parkingRental Per Month: RM650.00Move in anytime...,4.3227631,101.1251593
champs elysees kampar,650,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"The apartment is composed of a living room, a fully equipped kitchenette, and 1 bathroom.Fully furnished (2 Beds, 2 Study tables & Chairs, Kitchen cabinets, Electronic stove, Washing machine, 1 Air-con, Refrigerator, Microwave Oven)✔️ Facilities (Swimming pool, Gym room, 24 Hours Security System, Multipurpose hall)✔️ WiFi (ONLY FOR PROMOTION PERIOD) & Shuttle Van service to campus is provided.✔️ Near to UTAR/KTAR✔️ Kampar Street Market (every Saturday 6pm-11pm) @ Disney Avenue & Castle AvenueIf you are interested, kindly WhatsApp or call +601110207571 (Alfie) for more information.",4.3227631,101.1251593
champs elysees kampar,650,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"GS Realty Sdn BhdJamie Leong 012 253 2618================================================== ======================Brand New Fully Furnished Studio for rent at Champs Elysees, Kampar, Perak.- Studio unit- 430 Square Feets- Fully furnished with 2 Single Bed, air conditioned, 1 bathroom with water heaters, full kitchen cabinet, dining table and chairs, fridge, washing machine, cooking facilities, stainless steel cloth drying rack, bedframe & mattress, build in wardrobes, study tables, lighting, etc- 1 covered parking- Available Now !!!Rental Per Month: RM650.00====================================For serious Tenant only. Kindly contact for viewing arrangement.Call / SMS / Whatapps Jamie Leong *** Dear Owner, If you have any property willing to SALE / RENT. Kindly to contact Jamie Leong 012 253 2618, We will provide one-stop solutions follow by step Bank advise, Bank valuation and Lawyer advise. ***",4.3227631,101.1251593
champs elysees kampar,650,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"Business Centre, Gymnasium, Swimming Pool, Tennis Court, 24hr Security",4.3227631,101.1251593
champs elysees kampar,600,Kampar,Apartments,430,1 Bedroom,1 Bathroom,"This luxurious service apartment is perfect for students, a couple, small family or executive professional (eg doctors, engineers) who are looking for a comfortable stay around Kampar.Perfectly located at Bandar Agacia, the building is close to UTAR/TARC and newly-built Terminal Bus Kampar which makes it even more convenient and easily accessible.========================================================================================The unit composed of a living room, a fully equipped kitchenette, and 1 bathroom.Fully furnished (2 Beds, 2 Study tables & Chairs, Kitchen cabinets, Kitchen stove, Washing machine, 1 Air-con, Refrigerator, )✔️ Facilities (Swimming pool, Gym room, 24 Hours Security System, Multipurpose hall)✔️ Shuttle Van service to campus is provided.✔️ Near to UTAR/KTAR✔️ FREE PARKING within the vicinity of the building (subject to availability)===============================================================================Rent is RM600 per month (negotiable). Move in immediately.  Whatsapp me +60133090019 for viewing/reservation",4.3227631,101.1251593
Taman Kampar Perdana,450,Kampar,Apartments,915,3 Bedrooms,2 Bathrooms,Furnished  with 2 air conditioner in the living hall and small room. Quiet and tranquil study environment with few eateries located within 3 minutes walk. 2 hypermarkets (TESCO & Giant) within short walking distance.Very good view with amazing sunset of Kampar. Ideal for Lecturers and Student from UTAR Kampar.UTAR via East Gate within 5 minutes drive.*Price is negotiable for serious buyer only.,4.336072,101.1544801
Kedai Makanan Fook Koh,400,Kampar,Apartments,1400,3 Bedrooms,2 Bathrooms,"Cheap Rent !!3Room, 2Bathroom1400sf good condition, nice environmentFriendly ownerFull Floor Tiles Grille Door & Windows monthly rent rm400 (nego) =)",4.3184551,101.1525948
Meadow Park Kampar,400,Kampar,Apartments,1008,4 Bedrooms,4 Bathrooms,"Fully furnished NEW apartment available for rent, the house fully designed for students.- 5 mins to UTAR by driving- 3 mins to Westlake International School by driving- 24 Hours Security - Fully Furnished - Full equipped Gym ( 8am - 10pm ) - Washing machine - Multipurpose Hall - Badminton Courts & Table Tennis - Outdoor swimming pool - Barbecue Zones - High Speed Unifi - Air-condition room- Spacious living room with TV and sofa - Convenience store, self-service laundry, in-house cafeteria, vending machine- price shown is for ONE room which can accommodate 2 person",4.314542,101.1245373
Meadow Park Kampar,300,Kampar,Apartments,200,1 Bedroom,1 Bathroom,"Meadow Park Kampar ROOM RENTALrental deposit - 2 mthsutility deposit - 1/2 mthadvance rental - 1 mthMonthly rental RM300/room without air conditioning. With air conditioning, add RM 50/room.Guarded town house with a car park fully furnished with sofa, coffee table, TV console, LED TV, dining table, kitchen cabinet, refrigerator and water kettle, water filter, tv box and etc.3 twin sharing bedrooms and 1 double bedroom, all with attached bathroom and water heater. Bedrooms fully equipped with bed, wardrobe, study desk and chairs.Location: Kampar, Perak.( Near UTAR)Safe and quiet environment with guard patrol and CCTV at all fencing area.*** Kindly call Vivi 016-6301701 for viewing arrangement ***",4.314542,101.1245373
