Property_name,Renting_price,Area,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng
Single Storey Fully Furnished Lot House At Kampar,1300,Kampar,Houses,5600,3 Bedrooms,3 Bathrooms,"First come first serve!!!!Single Storey Fully Furnished Lot House At Kampar for rent.Located at near kampar putra and westlake area.On the way to Malim Nawar.-this property is located at 5 minutes driving distance to UTAR,8 minutes driving distance to Tesco,10 minutes driving distance to(cyber cafe,mamak,Econ Save, Star Bucks,shop lots and so on).15 minutes to ktm and bus station.-this is a peaceful and suitable environment for studying and living as it is surrounded by lake ,mountains and nature.House Details:--single storey fully furnished house with air-cond-got 3 spacious big rooms with attach bathroom-estimated around 7 people can stay.-got sofa,tv and auto gate system-nice kitchen and with cooking facilities-location at Bandar Baru,Westlake Homes,Kampar -Fully furniture(bed,MATTRESS,build in wardrobe,study table,chair and shower heater)eachroom-Common area furniture(dining set table,sofa, fridge and washing machine)-spacious parking lot and land-Asking for RM 1300 per month.(Price can nego)Please do not hesitate to contact me for further details.Vishal Nambiar- 0164417040vishal_nambiar_16@hotmail.com",4.308504,101.1536528
"Taman Kampar Perdana, Kampar, Perak",1300,Kampar,Houses,2690,4 Bedrooms,3 Bathrooms,"[ RENO + FURNISHED ] 2 STOREY CORNER HOUSE @ KAMPAR PERDANA, 2690SQFT.* 2 Storey Corner House.* with security services.* Beautiful house, renovated with build in cabinet.* Very convenient location, near UTAR/KTAR, TESCO and GIANT hypermarket and etc. Asking rental RM1300 (negotiable).Must see and feel to appreciate!!Anyone interested, please contact STEVEN 018-9540680 for any inquiries and viewing arrangement.More Properties For SALE / RENT :http://www.mkproperty-perak.comhttps://urlzs.com/P36aS==========================================(*) Need help to SALE / RENT out your property?==========================================~ Dear all, if you have any property FOR SALE / FOR RENT, feel free to contact us @ 018-954 0680, we can assist you. TQ",4.336072,101.1544801
"Kampus West City, Jalan Kampar Barat, 31900 Kampar, Negeri Perak",1100,Kampar,Houses,1600,4 Bedrooms,3 Bathrooms,Kampar New Landed House Almost Fully Furnish 4 Rooms For Rent- 1600 Sqf- 4 Rooms 3 Bath- Washing Machine- Fridge- Bed - Study Table SetAnd MorePm 0103691612 Roy kongJasen Kong 0167003437*Image is for reference only*,4.3243623,101.1260391
"Jalan Seksyen 2/3, Kampar, Perak",1100,Kampar,Houses,1400,4 Bedrooms,4 Bathrooms,FULLY FURNISHEDNEARBY UTAR WITHIN 8 MINSNEARBY McDonald AND kFC WITHIN 8 MINSNEARBY HAWKER CENTER WITHIN 8 MINS,4.3293597,101.1315703
"Jalan Seksyen 2/4, Kampar, Perak",1100,Kampar,Houses,1400,4 Bedrooms,4 Bathrooms,24hr Security,4.3297553,101.1312653
Meadow Park Kampar,1100,Kampar,Houses,None,4 Bedrooms,4 Bathrooms,"Barbecue Area, Covered Parking, Gymnasium, Jogging Track, Playground, Swimming Pool, 24hr Security",4.314542,101.1245373
"Jalan Seksyen 2/7, Kampar, Perak",850,Kampar,Houses,1400,4 Bedrooms,4 Bathrooms,Fully furnished double storey house next to UTAR to let.  Kindly whatsapp 0109316035 if interested.  Thanks,4.3308275,101.1314389
Bandar Baru Kampar,800,Kampar,Houses,1300,3 Bedrooms,2 Bathrooms,"First come first serve!!!!Single storey fully renovated intermediate house for rent at Bandar Baru ,Kampar.Located at Taman Bandar Baru Utama.-this property is located at 3 minutes driving distance to UTAR,5 minutes driving distance toTesco,5 minutes driving distance to(cyber cafe,mamak,Econ Save, Star Bucks,shop lots and soon).10 minutes to ktm and bus station.-peaceful and suitable environment for studying and living as it is surrounded by lake ,mountainsand nature.-suitable for investmentHouse Details:--Single storey semi furnished house-Fully renovated.Extended kitchen well maintained house.-location at Bandar Baru,Taman Bandar Baru Utama,Kampar -3 bedrooms and 2 bathrooms.-size is 20 x 65 sq.ft.-semi furniture(CEILING FAN, one air-cond shower heater, bed and kitchen cabinet)  - Asking price is RM800Please do not hesitate to contact me for further details. Vishal Nambiar- 0164417040vishal_nambiar_16@hotmail.com.",4.324035,101.150757
"Jalan Putra Emas 3, Kampar, Perak",700,Kampar,Houses,1100,3 Bedrooms,3 Bathrooms,Single storey Jalan Putra Emas  Kampar Putra Perak ~ Good condition~ New paint ~ 3  Air cond / Have furniture~ Nearby  University Square Kampar~ 10 mins to Tunku Abdul Rahman Kampus Perak~ Nearby Gym Kampar~ Nearby RestaurantRent monthly RM 700Anytime view call Ms.Ang 01123329818,4.3217718,101.1333726
"Kampar Putra, Kampar, Perak",650,Kampar,Houses,1300,4 Bedrooms,4 Bathrooms,"Single storey house in Kampar Putra, Kampar for rent. Suitable for UTAR student. Around 2.5km from UTAR campus and brand new unit.Fully furnished with air con, water heater,  refrigerator,  separate electricity meters, fan, newly installed stylish study table, cupboard, study chair, dining table etc.Short distance to the new Kampar bus station which expect in operation  by 1st quarter of 2019. Said bus station equipped with cinema,  sport center, shopping mall etc which develops by a Malaysia public listed company. Rental as RM650/Month. Interested party may call me at 012 548 8978...lee",4.3227639,101.1256878
