Property_name,Renting_price,Area,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng
Apartment for rent Taman Kampar Perdana,    RM 450  per month   ,     Kampar    ,   Apartments  ,  915 sq.ft ,   3 Bedrooms  ,   2 Bathrooms  , Furnished  with 2 air conditioner in the living hall and small room. Quiet and tranquil study environment with few eateries located within 3 minutes walk. 2 hypermarkets (TESCO & Giant) within short walking distance.Very good view with amazing sunset of Kampar. Ideal for Lecturers and Student from UTAR Kampar.UTAR via East Gate within 5 minutes drive.*Price is negotiable for serious buyer only. ,4.327173999999999,101.135719
Taman Kampar Perdana shop in front of Tesco Kampar,    RM 1 500  per month   ,     Kampar    ,   Commercial  ,  1760 sq.ft ,None,None," Good location of the property:- Facing directly to Tesco kampar- Walking distance to UTAR, Tar College ,Tesco and Giant.- Large space 22 x 80Negotiable rental rate.whatsapp 0123722555 ",4.3353572,101.1538988
Tanah untuk disewa. 1ekar lebih. kampar,    RM 1 000  per month   ,     Kampar    ,   Land  ,  1 Acres ,None,None, Tanah untuk pertanian untuk disewaKampung air hitam labu..jlan keluar masuk adaDeposit 2000Bulanan 1000Wasap cll 0162323949 ,4.308504,101.1536528
Meadow Park Kampar,    RM 300  per month   ,     Kampar    ,   Apartments  ,  200 sq.ft ,   1 Bedroom  ,   1 Bathroom  ," Meadow Park Kampar ROOM RENTALrental deposit - 2 mthsutility deposit - 1/2 mthadvance rental - 1 mthMonthly rental RM300/room without air conditioning. With air conditioning, add RM 50/room.Guarded town house with a car park fully furnished with sofa, coffee table, TV console, LED TV, dining table, kitchen cabinet, refrigerator and water kettle, water filter, tv box and etc.3 twin sharing bedrooms and 1 double bedroom, all with attached bathroom and water heater. Bedrooms fully equipped with bed, wardrobe, study desk and chairs.Location: Kampar, Perak.( Near UTAR)Safe and quiet environment with guard patrol and CCTV at all fencing area.*** Kindly call Vivi 016-6301701 for viewing arrangement *** ",4.314541999999999,101.1245373
"Champs Elysees condo, bandar Agacia, Kampar",    RM 700  per month   ,     Kampar    ,   Apartments  ,  430 sq.ft ,   1 Bedroom  ,   1 Bathroom  ," studion Unit  at Champs Elysees for rent.Location : bandar agacia Special : for Utar student 1) distance to Utar : 1 min.2) New unit . Ready to move in.3) living hall got :curtainAircon4) bedroom have 2 single bed.5) kitchen got:OvenElectric cooker6) bathroom got 7) 24 hrs security. Provide 2 access card.8) facility : swimming pool, Play Groundo,  gym, etcUtar student had evaluate this condo as their priority choice.For viewing, kindly contact Francis  012-4218704Thank you. ",4.320604299999999,101.1243204
Renovated Single Storey Intermediate House At Bandar Baru Kampar,    RM 800  per month   ,     Kampar    ,   Houses  ,  1300 sq.ft ,   3 Bedrooms  ,   2 Bathrooms  ," First come first serve!!!!Single storey fully renovated intermediate house for rent at Bandar Baru ,Kampar.Located at Taman Bandar Baru Utama.-this property is located at 3 minutes driving distance to UTAR,5 minutes driving distance toTesco,5 minutes driving distance to(cyber cafe,mamak,Econ Save, Star Bucks,shop lots and soon).10 minutes to ktm and bus station.-peaceful and suitable environment for studying and living as it is surrounded by lake ,mountainsand nature.-suitable for investmentHouse Details:--Single storey semi furnished house-Fully renovated.Extended kitchen well maintained house.-location at Bandar Baru,Taman Bandar Baru Utama,Kampar -3 bedrooms and 2 bathrooms.-size is 20 x 65 sq.ft.-semi furniture(CEILING FAN, one air-cond shower heater, bed and kitchen cabinet)  - Asking price is RM800Please do not hesitate to contact me for further details. Vishal Nambiar- 0164417040vishal_nambiar_16@hotmail.com. ",4.324034999999999,101.150757
Kampar Flat For Rent,    RM 400  per month   ,     Kampar    ,   Apartments  ,  1400 sq.ft ,   3 Bedrooms  ,   2 Bathrooms  ," Cheap Rent !!3Room, 2Bathroom1400sf good condition, nice environmentFriendly ownerFull Floor Tiles Grille Door & Windows monthly rent rm400 (nego) =) ",4.327173999999999,101.135719
"Rumah untuk Disewa di Kampar, Mamband Diawan",    RM 450  per month   ,     Kampar    ,   Houses  ,  1700 sq.ft ,   4 Bedrooms  ,   2 Bathrooms  ," Rumah untuk disewa di Taman Indah, Kampar. Rumah ini berdekatan dengan bandar Kampar dengan segala kemudahan seperti Sekolah, Pejabat Urusan Kerajaan dan LRT Station. Boleh call untuk appoinment tengok rumah dulu. Rental (1 month) = RM 450.00Deposit = RM 450.00 ( 1 bulan)Elektrik & Air = RM 200 ( 1 bulan)Contact Details : 014-694 1804                                011-2651 7792 ",4.267348999999999,101.1477449
Rooms For Rent (The Meadow Park Kampar),    RM 320  per month   ,     Kampar    ,   Rooms  ,  200 sq.ft ,None,None," - 5 mins to UTAR by driving- 3 mins to Westlake International School by driving- 24 Hours Security - Fully Furnished - Full equipped Gym ( 8am - 10pm ) - Multipurpose Hall - Badminton Courts & Table Tennis - Outdoor swimming pool - Barbecue Zones - High Speed Unifi - Convenience store, self-service laundry, in-house cafeteria, vending machineClick wasap.my/60126295512To get further detail ",4.314541999999999,101.1245373
"First Floor Big End Shop beside Tesco , Kampar",    RM 590  per month   ,     Kampar    ,   Commercial  ,  2658 sq.ft ,None,None," The Shop is located very close to East Gate UTAR, and Tesco Those who are interested, kindly contact me. Thank You ",4.3353572,101.1538988
