Property_name,Renting_price,Area,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng
champs elysees kampar,650,Kampar,Rooms,430,None,None,"-Fully furnished with air-conditioned, cooking is allowed-High floor corner unit with 2 balconies-2 car park-Utility fees not included in rentalMaximum occupy 3 person (rental can be share)",4.3227631,101.1251593
champs elysees kampar,650,Kampar,Rooms,430,None,None,"*****2 UNITS OF SERVICED SUIT FOR RENT*****- Each unit can occupied 2 persons.- French architecture design with interior fully furnished.- 2 single beds with laminated timber flooring.- Build-in 2 wardrobes with flip down workstation.- Build-in kitchen cabinet, dining counter and washing bay.- Designer water closet, basin cabinet and mirror.- Fully furnished with chairs, water heater, washing machine, air cond, microwave, induction cookers and fridge.~~~~MENARA CHAMPS ELYSEES~~~~- New completed condominium.- Located in Bandar Agacia, Bandar Baru Kampar.- Nearby UTAR, KTAR, Westlake International School, University Hospital, Bus Station, Econsave, Tesco, Starbuck, The Alley and many other amenities.- Restaurant within walking distance.- Fully furnished with infinity pool with pool side cafe, gym, multipurpose hall etc.- Reception area to service the residence.- Come with 24 hours security.",4.3227631,101.1251593
"Jalan Seksyen 2/5, Kampar, Perak",500,Kampar,Rooms,2700,None,None,"Double room with air cond available from January 2018 at Bandar Baru Kampar.Located at Westlake and Harvord area. 5 minutes away from UTAR ,KTAR and Westlake International School Kampar Campus-double room with air cond and big balcony balcony where you can dry your cloths.-Big double spacious rooms -Utar Bus services and perak transit bus services provided from morning till night.-House is just beside bus stop-Every floor have side balcony to dry cloths-Fully furnished with furniture and fittings...-Air cond provided-Got individual electric meter each floor-Refrigerator each floor-water filter each floor-Water heater in each room-Tables and Chairs in each room and common area -Washing machine each floor-big shoe rack provided-100mbs unfi -Cleaning services provided once a week-Cooking allowed-Double room rates from RM 450 to RM 500-All rooms comes with air con,attach personal bathroom,fan,lights,wardrobes and tables.-Can move in END OF DECEMBER-Got UTAR and Perak Transit Bus Services morning till night-Private owner-Pm for more info   Kindly Contact me at 0164417040 for further information.",4.3300693,101.130809
"Jalan Seksyen 2/2, Kampar, Perak",340,Kampar,Rooms,300,None,None,"Well-kept double-storey corner lot with extra land facing open field. No parking problem. Fully furnished aircon rooms with private bathrooms from RM340 - RM440. Superior facilities. 2-door fridge on each floor, 1 free Unifi wifi on each floor. Fully equipped dry & wet kitchen. Awnings to all windows, gate, porch, wet kitchen, compound. Large well-lighted garden for discussion, relaxation, BBQ. House tastefully decorated for homely environment. View to appreciate. 016-2012436.",4.3293571,101.1323273
Meadow Park Kampar,330,Kampar,Rooms,1080,None,None,BEST PLACE TO STAY IN KAMPAR *A Modern Adobe within The Natural*An Exclusive Gated & Guarded Community*Redefining Rest & Relaxation *A Vibrant & Active Neighbourhood * FRIENDLY OWNER My Unit is Near to Club House and Management officeSafe and quiet environment with guard patrol and CCTV at all fencing area.Facilities available:Free wifiSwimming poolGymBadminton court/ ping pong tableJogging Area BBQ areaSelf service laundryUTAR Shuttle bus (RM50 per mth)Rental Deposit - 2 mthsUility deposit - 1 mthUtilities - pay by tenant All room c/w  Air-conditioning together with meter for fair usage. Monthly rental RM330/room,4.314542,101.1245373
"Meadow Park, Kampar",320,Kampar,Rooms,200,None,None,"- 5 mins to UTAR by driving- 3 mins to Westlake International School by driving- 24 Hours Security - Fully Furnished - Full equipped Gym ( 8am - 10pm ) - Multipurpose Hall - Badminton Courts & Table Tennis - Outdoor swimming pool - Barbecue Zones - High Speed Unifi - Convenience store, self-service laundry, in-house cafeteria, vending machineClick wasap.my/60126295512To get further detail",4.314542,101.1245373
Meadow Park Kampar,300,Kampar,Rooms,1080,None,None,"Guarded town house with a car park fully furnished with sofa, coffee table, TV console, LED TV, dining table, kitchen cabinet, refrigerator and water kettle, water filter, tv box and etc.3 twin sharing bedrooms and 1 double bedroom, all with attached bathroom and water heater. Bedrooms fully equipped with bed, wardrobe, study desk and chairs.Location: Kampar, Perak.( Near UTAR)Balcony with beautiful lake view.Safe and quiet environment with guard patrol and CCTV at all fencing area.Water Filtration system is ready in house.Facilities available:free wifiswimming poolgymbadminton court/ ping pong tableBBQ areabicycle for rentself service laundryUTAR Shuttle bus (RM30 per mth)rental deposit - 2 mthsutility deposit - 1/2 mthadvance rental - 1 mthMonthly rental RM300/room without air conditioning. With air conditioning, add RM 50/room.",4.314542,101.1245373
"Meadow Park Kampar, Perak",300,Kampar,Rooms,1080,None,None,"online payment transfer/cash. room available immediately upon full payment. price are per room (inside the room have two bed, two study table and two small cabinet). May sharing with friend. nearby Utar, Westlake international school. shuttle bus to campus and universities.",4.314542,101.1245373
Meadow Park Kampar,300,Kampar,Rooms,1080,None,None,"Guarded town house with a car park fully furnished with sofa, coffee table, TV console, LED TV, dining table, kitchen cabinet, refrigerator and water kettle.3 twin sharing bedrooms and 1 double bedroom, all with attached bathroom and water heater. Bedrooms fully equipped with bed, wardrobe, study desk and chairs.Location: Kampar, Perak.( Near UTAR)Balcony with beautiful lake view.Safe and quiet environment with guard patrol and CCTV at all fencing area.Facilities available:free wifiswimming poolgymbadminton court/ ping pong tableBBQ areabicycle for rentself service laundryUTAR Shuttle bus (RM30 per mth)rental deposit - 2 mthsutility deposit - 1 mthadvance rental - 1 mthMonthly rental RM300/roomDirect contact owner: Evita Ong, 016-3908585",4.314542,101.1245373
Kampar House(Near UTAR) for Rent,300,Kampar,Rooms,1080,None,None,"Newly completed townhouse which is gated and guarded with 24 hours security patrolling and CCTV systems.This resort style living environment provides the following facilities:1. High speed Unifi2. Fully equipped gym room3, Badminton courts4. Table tennis5. Multipurpose Hall6. Swimming pool7. Barbecue pits8. Jogging track9. Laundry service10. O-Bike service11. Vending Machine12. Bus Shuttle ServiceAmenities & Facilities----------------------------- 5 mins drive to UTAR- 10 minutes distance to UTAR- nearby shops, hypermarket- nearby hawker centreAll rooms comes with :- air conditioner and fan- attached bathroom and water heater- Wardrobe- Study table and chair- mattress- bedsheet- curtainsThe unit is furnished with :- Flat screen TV- Sofa- Coffee table- Dining table and 4 chairs- Fridge- Kitchen cabinet- Induction cooker- Individual air cond reader for each room- ceiling fan in the living area- curtainsCan move in immediately .*Kindly PM if interested*",4.327174,101.135719
"Meadow Park Kampar, Perak",300,Kampar,Rooms,200,1 Bedroom,1 Bathroom,"Meadow Park Kampar ROOM RENTAL, rental deposit - 2 mths, utility deposit - 1/2 mth, advance rental - 1 mth, Monthly rental RM300/room without air conditioning. With air conditioning, add RM 50/room. Guarded town house with a car park fully furnished with sofa, coffee table, TV console, LED TV, dining table, kitchen cabinet, refrigerator and water kettle, water filter, tv box and etc. 3 twin sharing bedrooms and 1 double bedroom, all with attached bathroom and water heater. Bedrooms fully equipped with bed, wardrobe, study desk and chairs.  Location: Kampar, Perak.( Near UTAR). Safe and quiet environment with guard patrol and CCTV at all fencing area.",4.314542,101.1245373
"Jalan Seksyen 1/2, Kampar, Perak",270,Kampar,Rooms,1400,None,None,FULLY FURNISHEDWITH OR WITHOUT AIR CONNEARBY UTAR 5 MINSNEARBY McDONALD & KFC WITHIN 5 MINSNEARBY HAWKER CENTER WITHIN 5 MINS,4.3302144,101.1365145
"Jalan Seksyen 2/4, Kampar, Perak",240,Kampar,Rooms,1170,None,None,"2247, Double Storey Terrace House for RentLocation: Bandar Baru Barat, Westlake KamparLand size: 18Ã—654 Bedrooms 4 BathroomsGated and Guarded Community- Walking Distance to UTAR & Westlake International School- 5 min to KTAR, Econsave Hypermarket, Grand Kampar Hotel, McD, Bandar Baru Commercial Area- 10 min to Old Town, Tesco, Giant,- Utar Bus ServiceShared facilities:(1) Washing Machine(1) Refrigerator(1) Sofa Set(1) Dining Table(1) Clothes Hanging Rack(1) Television(1) TM Internet (not included)**All 4 rooms are subjected to availability depending on the existing tenant on-going period. Please call +60125233873 for more inquiries about the room information and availability****Whole entire house renting inquiries please call to confirm availability**",4.3297553,101.1312653
"Jalan Seksyen 1/5, Kampar, Perak",230,Kampar,Rooms,1400,None,None,"Kampar Westlake Manchester- Newly painted rooms and house - Well-maintained house- 24 hours security- Walking distance to UTAR- Convenient location with cycling to UTAR- UTAR shutter bus stop available in front of the taman- Walking distance to shops (Old Town White Coffee, Starbucks, restaurants) and pasar malam- Rooms to let with furnish and attached bathroom  >>> wardrobe, study table and chair, new mattress for each room- Water heater is provided- RM280 (double room)- RM230 (single room)- Include internet bill, water and electric bill- Facilities provided:   *** 500Mbps high speed Unifi Fibre Broadband internet. Able to support up to 10 users! ***  >>> Washing machine  >>> Refrigerator  >>> Clothes rack  >>> Cleaning service twice per month  ** Working adult/lecturer/students are welcome.Feel free to call/whatsapp for more information.Rental is negotiable.",4.3284527,101.1353166
"Jalan Seksyen 2/12, Kampar, Perak",220,Kampar,Rooms,145,None,None,"UTAR Kampar West Lake Imperial Student House- Many Rooms Available (Direct from Owner, no Agency fee, no contact fee)Semi - D Three Storey with internal court yard,  peace, safe, and quiet atmosphereFully furnished single room with attached toilet, 12ft floor height cool environmentMany windows- well ventilated and airyWalking distance to UTAR / UTAR Bus StopCycling to UTAR within 5minNight security at neighbourhood entrance Refrigerator and induction cooker at each floorWashing machine, dining table, TV, water heater in all bathroom, water filter, boiler/kettle, simple cooking is allowed, shoe rack.All ROOMs ARE FULLY FURNISHED WITH: Ceiling fan, study table & chair, wooden cupboard, bed rack, mattress, & curtain.the house is furnished with Streamyx Unifi (100 mbps) internet access Weekly house cleaning (Common areas)Rental rate starting from $220pls call/Whatsapp: 012- 256 8283",4.3335227,101.1312018
"Jalan Perdana 5, Kampar, Perak",200,Kampar,Rooms,11,None,None,"=> Double storey terrance house=> Near Tesco & Giant=> 0.5km to Uthar main gate=> Fully furnished ( got water heater, cupboard, table, chair, bedframe, fridge, washing machine, water filter, cooking utensil)=> Address: Jalan Perdana 5 & Jalan Perdana 4 ( area: taman kampar perdana)=> RM 200 below=> Preferable chinese student=> Allow cooking=>Contact person & contact no=> Madam Goh: 0195750870",4.3377313,101.1528666
