Property_name,Renting_price,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng,WiFi,CarPark,AirCond,HsKpngServ,LndryServ,WashingMac,DryerMac,Gym,SwmPool,Kitchen,Wardrobe,Fridge,Sofa,TV,Heater,ShuttleVan,Satisfaction_level,population
Westlake Villas,650,Room,,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,4,2
westlake,230,Room,,1,1,"WiFi, Car Park, House Keeping Services, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,,,,,,1,1,1,,,1,,3,3
Champs,560,Room,,1,1,"Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater",,,,1,1,1,,1,,1,1,1,1,1,,,1,,4,2
Oxford,170,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Fridge, Water Heater",,,1,,,1,,1,,,,,,1,,,1,,4,10
Beijing,315,Room,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Wardrobe, Fridge",,,1,1,,1,1,,,,,,1,1,,,,,3,4
Harvard,240,Room,,1,1,"Car Park, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,,1,,,,1,,,,1,1,1,,,1,,3,1
Beijing,230,Room,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Drying Machine, Water Heater, Shuttle Van",,,1,1,,1,1,1,1,,,,,,,,1,1,3,13
Oxford ,320,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",,,1,,,1,,1,,,,,1,1,,,1,,3,10
Trails of Kampar,350,Room,,1,1,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",,,,1,1,,,1,1,,1,1,1,1,1,,1,,4,3
Trails of Kampar,1000,Apartment,,3,2,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",,,,1,1,,,1,1,,1,1,1,1,1,,1,,4,3
Tsing Hua,280,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",,,1,,,1,,1,,,,1,,1,,,1,,2,9
Imperial,3450,House,,11,11,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",,,1,,,1,,1,,,,,1,1,,,1,,4,10
Imperial,315,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",,,1,,,1,,1,,,,,1,1,,,1,,4,1
Oxford,280,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Sofa, Television, Water Heater",,,1,,,1,,1,,,,,1,1,,,1,,3,15
Champs,550,Room,,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",,,1,1,1,1,,1,,1,1,1,1,1,,,1,1,5,1
West city,700,House,,3,2,"Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Fridge, Sofa, Water Heater, Shuttle Van",,,,1,1,,,1,,,1,1,,1,1,,1,1,4,4
Meadow Park,1150,Apartment,,4,3,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,3,4
Champs,550,Apartment,,1,1,"Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",,,,1,1,1,,1,,1,1,1,1,1,,,1,1,4,1
Trails of kampar,1000,House,,3,2,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",,,,1,1,,,1,1,1,1,1,1,1,1,1,1,,5,4
Meadow Park,275,Room,,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,4,4
Meadow Park,1100,Room,,4,4,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,4,4
Yale,300,Room,,1,1,"Car Park, House Keeping Services, Washing Machine, Fridge, Sofa, Water Heater",,,,1,,1,,1,,,,,,1,1,,1,,4,5
Westcity,700,Apartment,,3,2,"Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,,1,1,,,1,,,1,1,1,1,1,,1,1,3,4
West city condo ,320,Apartment,,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,1,1,1,,,1,,,1,1,1,1,1,,1,1,4,2
Westcity Condo,450,Room,,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,1,1,1,,,1,,,1,1,1,1,1,,1,1,4,4
Westcity Condo,150,Room,,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,1,1,1,,,1,,,1,1,1,1,1,,1,1,4,4
Cambridge,240,Room,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,1,1,,,,1,1,1,,,1,,4,8
