Property_name,Renting_price,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng,WiFi,CarPark,AirCond,HsKpngServ,LndryServ,WashingMac,DryerMac,Gym,SwmPool,Kitchen,Wardrobe,Fridge,Sofa,TV,Heater,ShuttleVan,Satisfaction_level,population
Beijing,315,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Wardrobe, Fridge",4.330476,101.13644,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,4
Beijing,230,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Drying Machine, Water Heater, Shuttle Van",4.330476,101.13644,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,3,13
Beijing,280,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.330476,101.13644,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,3,14
Beijing,3350,House,0,12,12,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.330476,101.13644,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,3,14
Beijing,280,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",4.330476,101.13644,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,10
Beijing,315,Room,0,1,1,"WiFi, House Keeping Services, Laundry Services, Wardrobe, Fridge, Water Heater, Shuttle Van",4.330476,101.13644,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,3,13
Beijing,290,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Wardrobe, Fridge, Water Heater",4.330476,101.13644,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,3,7
Beijing,340,Room,0,1,1,Washing Machine,4.330476,101.13644,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14
Beijing,290,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Kitchen, Wardrobe, Fridge, Television, Water Heater",4.330476,101.13644,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,2,13
Beijing,230,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Kitchen, Wardrobe, Fridge, Water Heater",4.330476,101.13644,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,3,3
Beijing ,320,Room,0,15,15,"WiFi, Car Park, Laundry Services, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",4.330476,101.13644,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,3,30
Cambridge,240,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.331954,101.131343,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,4,8
Cambridge,3350,House,0,14,12,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.331954,101.131343,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,4,8
Cambridge,230,Room,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Water Heater",4.331954,101.131343,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,5
Cambridge,210,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.331954,101.131343,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,4,10
Cambridge,230,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Fridge, Water Heater",4.331954,101.131343,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,1
Cambridge,295,House,0,14,13,"WiFi, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Television, Water Heater",4.331954,101.131343,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,5,14
Champs,560,Room,0,1,1,"Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater",4.322275,101.125011,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,4,2
Champs,550,Room,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",4.322275,101.125011,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,5,1
Champs,550,Apartment,0,1,1,"Car Park, Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",4.322275,101.125011,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,4,1
Champs,400,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Fridge, Water Heater",4.322275,101.125011,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,4,4
Champs,650,Apartment,0,1,1,"Air Conditioner, House Keeping Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater",4.322275,101.125011,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,4,1
Champs,650,Apartment,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.322275,101.125011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2
Champs,650,Apartment,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Water Heater",4.322275,101.125011,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,5,1
Eastlake,450,House,0,3,2,"Car Park, Kitchen, Wardrobe, Fridge",4.338707,101.152246,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Eastlake ,300,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",4.338707,101.152246,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,5,10
Harvard,240,Room,0,1,1,"Car Park, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.32996,101.131426,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,3,1
Harvard,900,House,0,4,4,"Car Park, Washing Machine, Kitchen, Wardrobe, Fridge, Sofa, Water Heater",4.32996,101.131426,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,4,6
Harvard,900,House,0,4,4,"Washing Machine, Wardrobe, Fridge, Sofa",4.32996,101.131426,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,6
Harvard,300,Room,0,1,1,"WiFi, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Fridge, Water Heater",4.32996,101.131426,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,3,15
Harvard,900,House,0,4,4,"Car Park, Washing Machine, Fridge, Sofa",4.32996,101.131426,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,5
Harvard,280,House,0,1,1,"Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.32996,101.131426,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,4,4
Harvard,1150,House,0,4,3,"Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.32996,101.131426,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,4,4
Harvard ,140,House,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Kitchen, Fridge, Water Heater",4.32996,101.131426,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,4,4
Harvard ,560,House,0,4,4,"WiFi, Car Park, House Keeping Services, Laundry Services, Kitchen, Fridge, Water Heater",4.32996,101.131426,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,4,4
Imperial,3450,House,0,11,11,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",4.333124,101.131828,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,4,10
Imperial,315,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",4.333124,101.131828,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,4,1
Imperial,400,Room,0,1,1,"WiFi, Air Conditioner, Washing Machine, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.333124,101.131828,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,5,12
Imperial,3750,House,0,12,12,"WiFi, Air Conditioner, Washing Machine, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.333124,101.131828,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,5,12
Imperial,300,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",4.333124,101.131828,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,4,9
Imperial ,270,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.333124,101.131828,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,5,12
Imperial ,300,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",4.333124,101.131828,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,4,9
Kampar Putra,900,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Kitchen, Fridge, Sofa, Television, Water Heater",4.320514,101.13103,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,4,4
Kampar Putra,200,Room,0,4,4,"WiFi, Car Park, Air Conditioner, Washing Machine, Kitchen, Fridge, Sofa, Television, Water Heater",4.320514,101.13103,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,4,4
Mahsuri,310,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Kitchen, Wardrobe, Fridge, Sofa, Water Heater",4.328722,101.151172,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,3,7
Manchester ,270,Room,0,1,1,"WiFi, Air Conditioner, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",4.328437,101.135307,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,5,10
Manchester ,290,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Fridge, Water Heater",4.328437,101.135307,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,7
Meadow Park,1150,Apartment,0,4,3,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.315885,101.123556,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4
Meadow Park,275,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.315885,101.123556,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,4,4
